date,confrontation_index,positive_count,negative_count,positive_influence,negative_influence
2021-04-16,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-04-17,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-18,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-19,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-20,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-21,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-04-22,0.00012514548162238602,0.0,10.0,0.0,10.0
2021-04-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-24,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-04-25,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-26,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-04-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-04-28,8.760183713567022e-05,0.0,7.0,0.0,7.0
2021-04-29,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-04-30,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-05-01,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-02,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-03,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-04,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-05,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-05-06,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-07,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-05-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-11,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-14,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-15,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-17,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-18,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-05-19,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-05-20,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-21,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-05-22,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-24,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-05-25,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-26,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-05-29,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-05-31,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-01,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-02,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-04,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-06-05,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-06,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-06-07,0.00010011638529790881,0.0,8.0,0.0,8.0
2021-06-08,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-06-09,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-06-11,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-12,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-13,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-14,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-06-15,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-16,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-06-18,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-19,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-06-21,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-06-22,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-23,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-24,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-06-25,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-06-26,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-06-27,0.00011263093346014742,0.0,9.0,0.0,9.0
2021-06-28,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-06-29,6.257274081119301e-05,0.0,5.0,0.0,5.0
2021-06-30,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-01,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-04,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-07-05,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-06,5.005819264895441e-05,0.0,4.0,0.0,4.0
2021-07-07,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-07-08,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-12,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-13,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-07-14,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-07-15,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-07-18,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-19,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-20,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-23,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-24,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-07-25,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-07-26,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-07-27,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-28,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-07-29,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-02,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-03,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-04,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-06,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-08-07,3.754364448671581e-05,0.0,3.0,0.0,3.0
2021-08-09,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-10,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-11,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-12,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-13,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-14,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-15,1.2514548162238602e-05,0.0,1.0,0.0,1.0
2021-08-16,2.5029096324477204e-05,0.0,2.0,0.0,2.0
2021-08-17,7.508728897343162e-05,0.0,6.0,0.0,6.0
2021-08-20,1.2514548162238602e-05,0.0,1.0,0.0,1.0
